Country, Provider, ARFCN, rxlev, BSIC, LAC, Cell ID, Evaluation, Latitude, Longitude, Encryption, DB Status, DB Provider, Neighbours
Germany, Vodafone, 62, -96, 7/5, 793, 17621, Ok, 0, 0, Not checked., Not looked up, None, 2 9 51 57 58 59 66 68 69 71 74 75 78 111 117 120 121 726
Germany, Vodafone, 112, -98, 3/4, 793, 6922, Ok, 0, 0, Not checked., Not looked up, None, 4 8 51 64 65 67 70 73 74 79 120 725 726 743
Germany, O2, 705, -101, 7/3, 50945, 35625, Ok, 0, 0, Not checked., Not looked up, None, 661 669 677 696 701 702 709 1007 1009
Germany, O2, 670, -91, 7/4, 50945, 9890, Ok, 0, 0, Not checked., Not looked up, None, 640 643 660 661 672 677 686 696 704 705 709 721 1003
Germany, O2, 672, -76, 7/4, 50945, 19544, Ok, 0, 0, Not checked., Not looked up, None, 643 660 661 670 677 701 703 708 709 1009
Germany, E-Plus, 988, -94, 3/3, 588, 44373, Ok, 0, 0, Not checked., Not looked up, None, 798 803 804 806 808 814 819 820 821 823 824 827 979 982 984 985 987 993 996
Germany, E-Plus, 991, -95, 3/2, 588, 53978, Ok, 0, 0, Not checked., Not looked up, None, 806 807 808 813 816 818 821 825 827 980 983 984 987 995 998
Germany, E-Plus, 996, -83, 3/1, 588, 48313, Ok, 0, 0, Not checked., Not looked up, None, 788 791 792 794 795 806 808 813 819 826 982 989 990 993
Germany, O2, 1002, -90, 7/0, 50945, 1384, Ok, 0, 0, Not checked., Not looked up, None, 654 660 673 675 690 699 700 702 704 706 707 708 709 710 711 712 715 719 1012 1016
Germany, O2, 704, -99, 7/0, 50945, 59748, Ok, 0, 0, Not checked., Not looked up, None, 659 670 676 677 681 696 702 707 709 711 719 721 1003
Germany, Vodafone, 745, -99, 3/3, 793, 58637, Ok, 0, 0, Not checked., Not looked up, None, 4 6 58 64 70 73 116 725 743
Germany, E-Plus, 982, -85, 3/5, 588, 53288, Ok, 0, 0, Not checked., Not looked up, None, 777 788 797 803 805 806 808 813 817 819 823 826 829 985 986 989 992 996 997
Germany, E-Plus, 987, -93, 3/6, 588, 52398, Ok, 0, 0, Not checked., Not looked up, None, 777 797 803 806 808 810 812 815 817 818 823 828 985 986 991 992 996
Germany, Vodafone, 743, -95, 3/5, 793, 58639, Ok, 0, 0, Not checked., Not looked up, None, 4 6 64 67 70 73 112 725 745
Germany, O2, 680, -99, 7/5, 50945, 9802, Ok, 0, 0, Not checked., Not looked up, None, 638 659 660 676 690 700 701 706 708 709 710 714 719 1009 1016 1017
Germany, O2, 653, -102, 7/5, 50945, 29771, Ok, 0, 0, Not checked., Not looked up, None, 648 689 691 697 698 701 703 1007 1008 1009 1011 1013 1014 1015 1017
Germany, O2, 701, -98, 7/5, 50945, 55625, Ok, 0, 0, Not checked., Not looked up, None, 661 669 672 696 705 709 1009
Germany, E-Plus, 979, -97, 3/3, 588, 50988, Ok, 0, 0, Not checked., Not looked up, None, 778 789 794 810 814 816 818 820 822 981 983 986 988
Germany, E-Plus, 981, -97, 3/5, 588, 50978, Ok, 0, 0, Not checked., Not looked up, None, 789 794 808 810 814 816 818 820 825 979 983 988 989 995 996
Germany, E-Plus, 813, -100, 3/2, 588, 31228, Ok, 0, 0, Not checked., Not looked up, None, 795 805 806 808 819 826 829 982 996
Germany, E-Plus, 817, -99, 3/6, 588, 32988, Ok, 0, 0, Not checked., Not looked up, None, 777 797 805 808 812 815 823 826 828 982 986 987 992
Germany, E-Plus, 863, -93, 3/6, 588, 7068, Ok, 0, 0, Not checked., Not looked up, None, 777 791 805 821 827
Germany, Vodafone, 64, -56, 3/3, 793, 19774, Ok, 0, 0, Not checked., Not looked up, None, 3 7 8 52 57 58 70 74 78 104 105 117 118
